year,university,name,time_rank_1
2014,Sharif University of Technology,Saboon,237
2014,Sharif University of Technology,iliad,61
2014,Shahid Beheshti University,Dark Side of Trianguli,7
2014,Sharif University of Technology,We miss iliad,7
2015,Sharif University of Technology,CrockPot,110
2015,Sharif University of Technology,Iliad is coming,105
2015,Shahid Beheshti University,Dog ate,81
2015,Shiraz University,AYA?,6
2015,University of Tehran,Narengies Factory :),6
2016,Sharif University of Technology,CrockPot,174
2016,Sharif University of Technology,KMJ Fans,124
2017,Sharif University of Technology,On The Way,152
2017,Sharif University of Technology,Cliché,104
2017,Amirkabir University of Technology,Fr13nds,25
2017,University of Tehran,NeshesTeam,14
2017,Sharif University of Technology,Hash_Array,7
2017,Sharif University of Technology,MABVA,4
2017,Isfahan University of Technology,Team 47,4
2017,University of Tabriz,The Rakht,4
2017,Sadjad University of Technology,Why do we fall?,4
2018,Sharif University of Technology,Kolompeh,113
2018,Sharif University of Technology,Oh Toh! We're coming,81
2018,Sharif University of Technology,Kamerana,76
2018,Amirkabir University of Technology,Whatever,17
2018,Sharif University of Technology,Deadlines Deadpolygons,15
2018,Ferdowsi University of Mashhad,"Penny, Penny, Penny",11
